"Zipcode","Arrest_Count","Average_Price","Median_Price"
75104,1,329900,329900
75134,19,209900,209900
75201,3762,1994333.33333333,899000
75202,2520,297718.75,284250
75203,1258,329950,334900
75204,2540,594946.137931034,575000
75205,131,1024950,1024950
75206,1718,745423.024390244,650000
75208,1277,818478.5,592500
75209,379,3193186.8125,1474499.5
75210,1184,155833.333333333,182500
75211,2369,381676.142857143,325000
75212,1228,409331.052631579,360000
75214,732,898055.681818182,747000
75215,2855,292823.333333333,277000
75216,3490,256529.382352941,250000
75217,2881,346141.368421053,280000
75218,588,718922.037037037,625000
75219,1281,413275,391500
75220,3455,1698224.79166667,969500
75223,787,529030.692307692,390000
75224,1292,431149.928571429,366500
75225,721,2524600,1570000
75226,1645,85000,85000
75227,1516,277029.592592593,284000
75228,2297,359125.909090909,349900
75229,1413,2850438.87878788,599000
75230,281,1516520.64516129,1099000
75231,2162,455094.192307692,440000
75232,1124,293549.916666667,287450
75233,333,393149.666666667,354999.5
75234,189,263600,259950
75235,1456,430460,387000
75236,267,332442.857142857,290000
75238,717,633026.666666667,624900
75240,1041,533422.222222222,450000
75241,1416,224970.588235294,239900
75243,2769,350712.794871795,309999
75244,145,835791.666666667,902400
75246,421,975000,975000
75248,439,959107.107142857,697499.5
75249,132,315527.181818182,349900
75252,231,554286.090909091,594700
75253,331,303005.75,287495
75254,413,683800,479900
75287,711,686076.769230769,530000
